100 100 2 2 97 99
NSW |NS |NS |NS |NS |NE |NW |NE |NW |NS |N |NS |NS |NSE |NW |N |NS |NS |NE |NW |NS |NS |N |NS |NS |NE |NW |N |NSE |NW |N |NE |NSW |NS |NS |NS |NS |N |NE |NW |NS |NS |NE |NSW |N |NS |NS |NS |NS |NE |NSW |NE |NW |N |NE |NSW |N |NS |NSE |NW |NE |NW |N |NE |NW |N |NS |NE |NW |N |NS |NE |NW |N |NSE |NW |NS |NS |NS |N |NSE |NW |NS |NE |NW |NE |NW |NS |N |NE |NEW |NW |NS |NS |N |NS |NE |NW |NS |NE |
NW |NS |NS |NS |NE |SW |SE |EW |SW |NSE |EW |NW |NS |NS |SE |EW |NW |NE |EW |SW |NE |NW |SE |NEW |NW |SE |SEW |SW |N |SE |EW |SW |NE |NW |NS |NS |NE |EW |W |SE |NW |NE |SW |NE |EW |NW |NE |NW |NE |SW |NS |E |EW |EW |SW |NS |SE |NW |NE |EW |SW |SE |EW |EW |EW |EW |NW |SE |SEW |W |NE |EW |EW |SW |NE |SW |NS |NS |NE |SW |NE |EW |NW |E |EW |SW |SE |NW |SE |W |SE |EW |NSW |NE |SW |NE |EW |SW |NE |EW |
EW |NW |S |NE |EW |NW |NS |SE |NW |NE |SW |SE |NW |NS |NE |EW |EW |EW |EW |NSW |SE |SW |NE |SW |S |NS |NS |NE |SEW |NW |SE |NEW |EW |EW |NW |NE |EW |EW |SEW |NW |SE |SW |NE |SW |SE |SEW |W |SE |SW |NS |NS |SE |EW |SW |NS |NS |NS |SE |SW |SE |NW |NS |SE |EW |SEW |EW |SW |NS |NE |EW |EW |SEW |EW |NEW |SW |N |NE |NEW |EW |NEW |SW |SE |EW |EW |EW |NW |NSE |SW |NE |SEW |NW |S |NS |E |NEW |EW |EW |NSW |SE |EW |
EW |SW |NE |EW |EW |SW |NE |NW |SE |SW |NS |NS |SE |NEW |SW |SE |EW |EW |EW |NW |NS |NE |W |NE |NEW |NW |NE |EW |NW |SE |NW |SE |SW |SE |EW |SW |SE |W |NE |SW |NE |NW |SE |NW |NS |NE |SW |NE |NSW |NS |NS |NE |SW |NS |NS |NS |NS |N |NS |NSE |EW |NW |NE |SW |NS |SE |NW |NE |EW |SEW |SW |NE |EW |EW |NW |SE |SW |E |SW |E |NEW |NW |SE |EW |EW |SW |NS |NE |SW |NE |EW |NW |NE |SW |SE |EW |SW |NS |NE |EW |
W |NS |SE |EW |EW |NEW |SW |SE |NSW |N |NS |NE |NW |E |NW |NE |EW |EW |SW |SE |NEW |EW |SEW |EW |W |SE |SW |SE |EW |NW |E |NW |NS |NE |EW |NSW |NE |EW |SW |NE |EW |SW |NS |SE |NW |E |NSW |S |NS |NS |NE |SW |NS |N |NS |NE |NW |SE |NW |NS |SE |EW |W |NS |NSE |NW |SE |SW |SE |NW |NE |SW |S |SE |EW |NW |NS |S |NSE |EW |EW |EW |NSW |SE |SW |NS |NE |SW |NE |SW |SE |EW |SW |NS |NE |EW |NSW |NS |S |E |
W |NSE |NW |SE |SW |S |NE |NW |NS |SE |NEW |SW |SE |SW |SE |SW |SE |EW |NSW |NE |W |SE |NW |SE |SW |NE |NW |NS |SE |EW |SEW |EW |NW |E |SW |NE |EW |EW |NEW |SW |SE |NW |NSE |NW |SE |SEW |NW |NS |NE |NEW |EW |NW |NE |EW |NEW |EW |EW |NEW |SW |NE |NW |SE |SW |NE |NW |SE |NW |NE |NW |SE |SW |NS |NS |NE |EW |SEW |NW |NS |NS |SE |EW |SW |NS |NS |NS |NS |SE |NW |S |NSE |NW |SE |NEW |NW |SE |W |NS |NS |NE |EW |
EW |NW |SE |NSW |NS |NS |S |SE |NW |NSE |W |N |NS |NE |NW |NE |NEW |SW |NS |E |SW |NE |EW |NW |NE |SW |SE |NSW |NS |S |NS |E |EW |SW |NSE |EW |EW |EW |W |NE |NW |E |NW |E |NW |NS |SE |NEW |EW |SW |E |EW |SW |SE |W |SE |EW |W |NSE |EW |SEW |NW |NS |SE |EW |NSW |E |SW |SE |NW |NS |NS |NSE |EW |W |NE |SW |NE |NSW |NS | |NE |NW |N |NS |NE |NW |SE |NW |NE |SW |NE |EW |SW |NE |EW |NW |NS |SE |EW |
EW |EW |NW |NS |NS |NS |NE |NEW |W |NS |SE |EW |NW |S |SE |SW |SE |NW |NE |EW |NEW |EW |EW |EW |SW |NS |N |NS |NS |NS |NE |SEW |SW |NE |NW |SE |SW |S |SE |EW |EW |SEW |EW |SEW |EW |NW |N |SE |SW |NE |EW |EW |NW |NS |SE |NEW |EW |SW |NE |SW |NE |SW |NS |NE |SW |NE |SW |NS |NE |EW |NW |NS |NS |SE |SEW |SW |NE |EW |NW |NS |SE |EW |EW |EW |NEW |EW |SW |NE |EW |SW |NS |SE |EW |NW |SE |EW |EW |NSW |NS |SE |
EW |EW |EW |NW |NS |NE |EW |W |SE |NW |NS |SE |EW |NEW |NW |NS |NS |SE |SW |SE |EW |SW |SE |W |NS |NSE |EW |NW |NE |NSW |S |NS |NS |E |SW |NE |NW |NE |NSW |E |SW |NE |SW |NE |EW |EW |EW |NW |NS |SE |EW |EW |SW |NS |NS |E |SW |NS |E |NEW |EW |NW |NE |SW |NS |S |NS |NS |SE |W |SE |NW |NS |NS |NE |NW |E |EW |SW |NS |NE |EW |SEW |EW |EW |SW |NS |E |SW |NE |NW |N |SE |SW |NE |SEW |SW |NS |N |NE |
EW |SW |SE |SEW |NW |E |EW |SW |NE |SW |NE |NSW |S |SE |SW |NE |NW |NS |N |NS |SE |NW |NE |EW |NW |NS |E |EW |EW |NW |NE |NSW |N |S |NSE |SW |SE |SW |NE |SW |NE |EW |NW |SE |SW |SE |EW |SW |NE |NSW |S |SE |NSW |N |NE |SW |NS |NE |SW |E |SW |SE |EW |NW |NS |NS |NS |NS |NE |SW |NS |SE |NEW |NW |SE |EW |SEW |SW |NS |NE |EW |SW |NS |SE |W |NS |NE |EW |NW |SE |EW |SW |NS |NS |SE |NW |NS |NE |SEW |EW |
SW |NS |NS |NS |SE |EW |EW |NW |SE |NEW |SW |NS |NS |NE |NW |SE |EW |NW |SE |NW |NE |EW |SW |SE |EW |NW |SE |EW |SW |SE |SW |NE |SEW |NW |NE |NW |NS |NS |SE |NEW |EW |EW |SW |NE |NW |NS |SE |NEW |SW |NS |N |NS |NE |SEW |SW |NS |NS |SE |NW |SE |NW |NS |E |SW |NS |N |NSE |NW |SE |NW |N |NSE |W |SE |NW |SE |NW |N |NSE |SW |SE |NW |NS |NE |EW |NEW |SW |SE |EW |NW |SE |NW |NS |N |NS |SE |NEW |SW |NE |EW |
NW |NS |NE |NSW |NS |SE |EW |SW |NS |E |NEW |NW |NE |SW |SE |NEW |EW |SW |NE |EW |SW |SE |NW |NSE |EW |SEW |NW |SE |NSW |NS |NE |SW |NE |EW |SW |SE |NW |NE |NW |S |SE |W |NE |SW |SE |NSW |NS |E |NW |NE |SEW |NW |E |NW |NS |NS |NS |NS |S |NSE |SW |NE |EW |NW |NE |EW |NW |SE |NSW |E |EW |NW |SE |NW |SE |NW |SE |SW |NE |NW |N |SE |NSW |SE |SW |E |NW |NSE |EW |EW |NW |E |NSW |E |NW |NE |SW |NS |E |EW |
EW |NEW |SW |NS |NS |NS |SE |NW |NSE |EW |SW |E |EW |NW |NE |W |SE |NEW |EW |EW |NSW |N |S |NE |SW |NS |SE |NW |NS |NE |SW |NE |SW |SE |NW |N |SE |EW |SW |NS |NE |SEW |SW |NS |NS |N |NS |E |EW |SW |NS |SE |EW |SW |NE |NEW |NW |NS |NE |NW |NS |SE |EW |EW |SW |SE |EW |NW |NS |SE |SEW |SW |NS |E |NW |SE |NSW |NE |EW |EW |SW |NS |NS |N |NSE |EW |SW |NE |EW |EW |SEW |SW |NE |SEW |EW |EW |NW |NE |SW |SE |
EW |SW |N |NS |NE |NSW |NE |W |NE |SW |NE |EW |SW |SE |SW |S |NS |SE |EW |SW |NE |EW |NW |SE |NW |NS |NS |S |NE |SW |NE |SW |N |NS |SE |EW |NEW |EW |NSW |NE |EW |NW |NS |NE |NW |SE |NEW |EW |SW |NS |NE |NSW |S |NSE |EW |EW |SW |NE |SW |SE |NEW |NW |SE |SW |NE |NW |SE |SW |NS |NS |NS |NS |NS |SE |EW |NW |N |SE |SW |SE |NW |NS |NE |W |NS |S |NS |SE |EW |SW |NS |NE |SW |NS |SE |SW |E |SW |NS |NE |
SW |NE |EW |NSW |S |NS |E |EW |EW |NW |SE |EW |NSW |N |NSE |NW |NS |NS |SE |NW |SE |EW |EW |NW |SE |NSW |N |NE |SW |NE |SW |NE |SEW |NW |NS |SE |EW |SW |NS |E |EW |EW |NSW |S |SE |NEW |W |SE |NSW |NE |EW |NW |NS |NS |S |S |NE |SW |NS |NE |SW |SE |NW |NS |SE |SW |NS |NE |NW |NE |NW |NS |NS |NE |SW |E |SEW |NW |NS |NS |SE |NW |SE |SW |NSE |NW |NS |N |SE |NW |NE |SW |NS |NS |NS |NE |W |NS |NSE |EW |
NW |SE |W |NS |NS |NE |EW |EW |EW |SW |NE |SW |NE |SW |NE |EW |NW |NS |NS |SE |NW |SE |EW |SW |NE |NW |SE |SW |NSE |EW |NSW |S |NS |SE |NW |NS | |NSE |NW |SE |EW |W |NE |NSW |N |SE |EW |NSW |N |SE |EW |EW |NEW |NW |NS |NE |SW |NSE |NW |E |NW |NS |SE |NW |NE |NW |NE |SW |SE |SW |SE |NSW |NE |SW |NE |EW |NW |SE |NW |NS |NS |E |NSW |N |NS |SE |NSW |SE |NW |SE |SW |NE |NEW |NW |NS |SE |SEW |NW |NS |E |
